_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	0	0		100		1	16.4501		2.40525		8.13569		0.583065	
_D:	1	0	0		100		2	12.0118		3.78462		4.03717		0.84617		
_D:	1	0	1		100		3	9.9327		8.20716		8.29435		6.87676		
_D:	1	0	1		100		4	9.02301		9.86319		8.192		7.55768		
_D:	1	0	0		100		5	13.153		3.54298		6.11054		0.976477	
_D:	1	0	1		100		6	14.9311		6.72204		9.01997		4.29414		
_D:	1	0	1		100		7	10.3842		9.65149		9.92162		6.98422		
_D:	1	0	1		100		8	11.517		7.77279		10.7748		5.70182		
_D:	1	0	0		100		9	17.2587		4.90755		9.37821		2.02612		
_D:	1	0	0		100		10	17.1939		3.95263		9.61314		1.14576		
_D:	1	0	1		100		11	7.33883		7.09004		1.46782		1.41327		
_D:	1	0	0		100		12	21.0212		5.03295		11.5206		1.97684		
_D:	1	0	0		100		13	22.0389		4.65494		13.6919		2.45237		
_D:	1	0	2		100		14	3.64209		16.3553		3.32704		7.17292		
_D:	1	0	1		100		15	9.60949		8.59131		2.06872		1.59308		
_D:	1	0	0		100		16	22.4659		4.49552		14.1738		1.9849		
_D:	1	0	0		100		17	12.9863		6.4888		5.87166		2.21928		
_D:	1	0	0		100		18	26.4877		2.73118		15.2642		1.79786		
_D:	1	0	1		100		19	12.1355		4.53301		11.8013		2.74222		
_D:	1	0	2		100		20	24.069		3.52711		13.9299		2.0065		
_D:	1	0	1		100		21	10.7689		5.43061		10.6602		3.29099		
_D:	1	0	0		100		22	1.00363		14.9333		0.969552	3.99804		
_D:	1	0	0		100		23	1.49305		15.3946		1.45622		5.01373		
_D:	1	0	0		100		24	2.01994		20.2435		1.97121		7.91299		
_D:	1	0	0		100		25	1.53864		17.4698		1.3655		6.38846		
_D:	1	0	0		100		26	1.98582		20.5055		1.82514		9.7936		
_D:	1	0	0		100		27	1.41161		20.5854		1.09835		8.00345		
_D:	1	0	0		100		28	1.18734		20.9858		1.11399		7.375		
_D:	1	0	0		100		29	1.75345		20.9644		1.53719		8.39914		
_D:	1	0	0		100		30	1.45073		25.2017		0.959632	8.95286		
_D:	1	0	1		100		31	5.9928		7.70153		5.5919		7.177		
_D:	1	0	1		100		32	6.09326		8.03916		5.71461		7.76866		
_D:	1	0	1		100		33	5.86949		8.97785		5.88394		8.49262		
_D:	1	0	1		100		34	4.3742		8.47987		3.10991		7.97228		
_D:	1	0	0		100		35	2.8898		31.8211		2.36506		12.1661		
_D:	1	0	0		100		36	5.45674		15.1777		1.49388		7.35637		
_D:	1	0	0		100		37	2.83949		29.2889		2.27562		14.4944		
_D:	1	0	0		100		38	2.45277		27.0301		2.69035		13.3687		
_D:	1	0	0		100		39	2.98587		29.4182		2.47483		12.2257		
_D:	1	0	1		100		40	1.16037		10.2002		0.727198	10.1333		
_D:	1	0	1		100		40	3.04378		11.0729		3.21896		10.9039		
_D:	1	0	1		100		1	9.50925		8.49533		0.384552	3.32102e-08	
_D:	1	0	0		100		2	31.2425		0.433621	18.1783		6.11459e-08	
_D:	1	0	0		100		3	32.1536		0.203786	17.3767		9.47295e-08	
_D:	1	0	1		100		4	9.34404		7.81407		0.0844227	3.06152e-06	
_D:	1	0	1		100		5	8.59234		6.67581		0.130096	8.5303e-07	
_D:	1	0	1		100		6	8.95522		7.95535		0.152884	4.81987e-06	
_D:	1	0	1		100		7	9.64808		8.10256		0.452046	9.52173e-06	
